md5,filename,split,engine,n_pages,n_chars,nit,matricula,razon_social
508be616ac8f310256b01a87b97049c4,CERTIFICADO DE EXISTENCIA Y REPRESENTACION LEGAL (2).pdf,train,pymupdf,8,18373,,03648299,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
863ec6e5e3ef8789f88e7ce3fc747ae4,CERTIFICADO DE EXISTENCIA Y REPRESENTACION LEGAL (3).pdf,train,pymupdf,14,36398,,00145186,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
11aff4eca532d6386c72277868b9ca0d,C.CIO FUNDESCO - 05 DE NOVIEMBRE DE 2.025.pdf,train,pymupdf,14,39373,,03154621,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
ade580c76147ee2a82b4552d1b11d5ab,Camara de comercio Fundacion Ernesto 14 enerp.pdf,train,pymupdf,12,31574,,03875694,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
c4e674783dee247a899302b585bd7e18,EXISTENCIA Y REPRESENTACION  11-11-2025_1.pdf,train,pymupdf,10,25485,901037847-1,,
9881c04caa86e0ab0d04b8035218c248,CAMARA DE COMERCIO OPERADORES 26 DE MARZO DE 2025.pdf,train,pymupdf,11,27912,,01576725,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
aae1f0c9e691ed8d497f5f6ae630e8d3,Camara 05 Nov 2025.pdf,train,pymupdf,57,181779,900417096-2,00208985,REFORMAS ESPECIALES
2132dab97dd376d9b78f77f3ff45f688,CAMARA DE COMERCIO GAIA OCT FF.pdf,train,pymupdf,7,20830,901232690-6,,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL O DE INSCRIPCIÓN DE DOCUMENTOS.
15edacb281240a7057202920cc4bba8a,CERTIFICADO CAMARA DE COMERCIO IMS SAS.pdf,train,pymupdf,7,18455,809001092-7,91160,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
d5fa08f7b3b11614ea0771e11b6ac639,SEPRO LTDA - CCB 06-11-2025.pdf,train,pymupdf,7,16444,,01139867,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
c95814b9c1f6fd3c76ed01273dad65cf,certificado existencia y rep legal - UT INNOVA2.pdf,train,pymupdf,48,174692,804003814-9,240025,"OBJETO  SOCIAL:   QUE POR ACTA NRO. 009, DEL  05/11/2009,  ANTES CITADA  CONSTA:"
109b5cb9e6ef55ef82573f5f6f8fab6d,CÃÂ¡mara Comercio SBS 04-Nov-2025 (1).pdf,train,pymupdf,61,201094,860037707-9,00207247,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
3f394286a74621869e3b4af29c02bc19,01. CÃÂ¡mara de Comercio - SAM.pdf,train,pymupdf,11,28579,,00209293,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
40d866918aaceb42e6bb70d60edc0c2b,3 CAMARA DE COMERCIO CISA_16022026_1.pdf,train,pymupdf,9,35772,901034178-7,51267,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
881ad1d256fa168158e91a9c227b0f95,02. Camara de comercio 04-02-2026.pdf,train,pymupdf,9,21043,,00813803,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
3813f33a010fe0b5527a5b5ee3a99f6f,CC GENERALES ENERO 9 2026.pdf,train,pymupdf,9,25828,891700037-9,40377,"JUDICIALES Y EN TODA CLASE DE PROCESOS DE CARACTER CIVIL, COMERCIAL, PENAL, LABORAL,"
9652488bb3ef88616c3a69d140035800,CÃÂMARA DE COMERCIO CALI NOVIEMBRE 2025.pdf,train,pymupdf,11,28724,891303786-4,655769,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
0698efa875a9cf7a9dac15f69ae740b8,CÃÂMARA DE COMERCIO BOGOTÃÂ NOVIEMBRE DE 2025.pdf,train,pymupdf,5,10972,,01458748,PROPIETARIO - CASA PRINCIPAL
b56c3ab5763b2544674a3e3584a045f7,CCCGINCO26_02_2026.pdf,train,pymupdf,4,11525,901477531-5,58029,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
69d50ce9737cc20c4be81bfa6831c0a6,Existencia y rep Legal H&N 10-02-2026.pdf,train,pymupdf,5,11812,901706400-2,47792812,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
8326b3453b6893208990a75ea6b9d143,CAMARA DE COMERCIO EMR S.A.S. ZOMAC.pdf,train,pymupdf,16,59229,901661653-3,39100,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
cdedd4ca86f4d6d02d958300ff2f22f4,5 CERTIFICADO DE CAMARA DE COMERCIO X2.pdf,train,pymupdf,18,45630,805029170-0,1020100,CERTIFICADO DE EXISTENCIA Y REPRESENTACION LEGAL DE
481d9c44f6a33de110fbeea5941a483a,EXISTENCIA PCM 02-03-2026.pdf,train,pymupdf,8,30487,813012067-4,129575,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
eecb531be798c06b7db3b77bd6e02522,CAMARA COMERCIO DE BUCARAMANGA 18.11.2025.pdf,train,pymupdf,7,19601,804011536-1,88450,"CARGO                    NOMBRE                            IDENTIFICACIÓN
 
REVISOR FISCAL PRINCIPAL CELFIRE  ARAMBULA CISA            C.C 63324490"
5f70733063bd5263705c1d3d177e9809,Camara Comercio Diciembre 28.pdf,train,pymupdf,12,32723,,01480425,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
546219727043aae6884b50552a1babd9,CERL - GRUPO EMPRESARIAL EDIFICAR ZOMAC SAS.pdf,train,pymupdf,5,12107,901262007-3,108694,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
8e68991bc2de2f44dda303de85624d56,08. CAMARA Y COMERCIO AXA.pdf,train,pymupdf,33,97517,860002184-6,00010742,REFORMAS ESPECIALES
d171a7adedfcb63fed127d7898d66784,04. CÃÂ¡mara de Comercio Solidaria Manizales.pdf,train,easyocr,5,16588,860524654-6,59859,PROPIETARIO CASA PRINCIPAL
8c9eb52f634a7bf946103a1b9537abf7,CERTIFICADO DE EXISTENCIA Y REPRESENTACION LEGAL (1).pdf,train,pymupdf,13,31326,811042638-0,,EXPERTOS  PROFESIONALES  EN  SERVICIOS  SOCIALES INTEGRALES a ASOCIACION
de0bf5935066c34ebb77b41a12189f51,CC CINTHYA GONZALEZ RL FUNDADEH.pdf,train,easyocr,1,585,,,
551aeb31a480937f475b914f92713f6d,CAMARA DE COMERCIO.pdf,train,pymupdf,8,23147,900722425-1,,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
5fcf8af29056492f8597613bc08f7aec,4.2.3. CERTIFICADO DE EXISTENCIA Y REPRESENTACION LEGAL.pdf,train,pymupdf,9,26760,900585288-9,,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
980ff09291337630b05071cbe17dc472,2. CERTIFICADO DE EXISTENCIA Y RL.pdf,train,pymupdf,18,43682,901056140-2,03740979,"CERTIFICADO DE 
EXISTENCIA Y RL"
68cedf99874eee2cea0d85567e0edbb7,CAMARA DE COMERCIO PUTUMAYO.pdf,train,pymupdf,4,12069,800023646-9,89396,PROPIETARIO - CASA PRINCIPAL
1c5ff972437b67aa7cb2d1fafb451800,3.CamComercio Marzo2026.pdf,train,pymupdf,13,32173,,00209473,REFORMAS ESPECIALES
f8981693d0c75801b69a69162f32e48c,Cam de Cio Mango.pdf,train,easyocr,6,11991,901558067-7,,CERTIFICADO DE EXISTENCIA Y REPRESENTACION LEGAL
78fcea84a5f30bfdb4013d882150fc61,CCB ENERO 2026.pdf,train,pymupdf,8,19891,,01622203,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
d7d12243773759464a452c6f9b8f5c0d,CAMARA DE COMERCIO (5).pdf,train,pymupdf,8,28078,900199958-1,165721,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
16ad6f4a38fa78023a4be080efc62187,Existencia - Vias LC.pdf,train,pymupdf,7,17391,,,CERTIFICADO DE EXISTENCIA Y REPRESENTACION LEGAL O
c002a31cee300b7f9e7a8553477a509d,2. CAMARA DE COMERCIO BOGOTA 04-03-2026.pdf,train,pymupdf,10,25711,,03288194,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
a769e6d4bc7feb8a72727e0b04bfe0fa,certificado de camara de comercio noviembre 06 de 2025 (1).pdf,train,pymupdf,10,25594,,,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
054ebfd4a95f792abc6adacc1d7e046f,CC Dislumbra vigente.pdf,train,pymupdf,8,22850,900284369-5,765065,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
51492ffeca601678824d4290fa42baf9,CERTIFICADO DE EXISTENCIA  DE LOS PROPONENTES.pdf,train,pymupdf,14,38024,901873082-8,214739,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
a977a39cceb685020efceef3f9cc5af0,Camara de Comercio Union Temporal.pdf,train,pymupdf,30,104980,806008935-1,,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
7d5e717551e03da7b3d4d715d267374a,2. CERTIFICADO DE EXISTENCIA Y R. LEGAL -SEGAL.pdf,train,pymupdf,7,16713,800178014-1,325557,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
d7c6fde95ee509a0bc8eba44d4efccfa,CAMARA DE COMERCIO SERVIGPODER POPAYAN MARZO.pdf,train,pymupdf,2,5306,900369097-3,244578,
