md5,filename,split,engine,n_pages,n_chars,numero_poliza,aseguradora
65dea6d7f8f4aa45eac503037996ddab,CUMP-CBM-100000889_0 DINAMICK_unlocked_1.pdf,train,easyocr,18,30014,Nii 860037013,Mundial de Seguros
19c6324a1b7bbe6ebfeb1c120ad017fd,13. POLIZA.pdf,train,pymupdf,9,14267,,
85170cb4f973dfedbc63468b46010acc,POLIZA TJL.pdf,train,pymupdf,3,9324,,Mundial de Seguros
df806a18e9f71b00189660d21d5cb4df,Poliza_10_CSU-100002172_0_1.pdf,train,easyocr,17,28449,Nit 860037013,Mundial de Seguros
5dcc44614868ad5785a93d49efadde53,Garantia seriedad de oferta_1.pdf,train,pymupdf,10,18181,101110383,
cbbdeb7f11946d573cf605578aabed4e,Poliza de seriedad SRC 2025 Dislumbra_1.pdf,train,easyocr,14,27181,Nit 860037 013,Mundial de Seguros
52c4aaf4f9373815c28c7ce2d4c25d68,POLIZA DE SERIEDAD.pdf,train,easyocr,1,2664,39-44-10117825,
522f059baedf4ed6f3fb1645045bc7d9,20. POLIZA RC.pdf,train,pymupdf,46,51306,0027716,
965275bb5ffa48f268b4c7b3798f8b4c,9. GarantÃÂ­a de Seriedad_1.pdf,train,easyocr,6,14088,Nit 860037013,Mundial de Seguros
da91d9212ce48fa41b35ce6e6a95b0ae,29 Poliza_1.pdf,train,pymupdf,2,881,,
df5b75e59c841da0e5fdad133d756f0f,POLIZA_400071629_0 (1).pdf,train,pymupdf,4,6920,400071629,
b3eebf6e61d6ce1584dbb6a8e71d7c3a,POL SERIEDAD_41_10_100047831_0 (1)_2.pdf,train,pymupdf,17,14303,,Mundial de Seguros
50e54cf99ef3c30467dc0fdbec81f9a0,Garantia de seriedad_1 (2).pdf,train,easyocr,17,29449,Nii 860037013,Mundial de Seguros
2d05c99855804a7b6939bdbc9c42eaf9,430-47-994000075367-0.PDF,train,pymupdf,2,7802,,
6803367c46cc55f35ee5aaa750fb25de,Poliza Seriedad Infimanizales.pdf,train,pymupdf,41,49242,0103321,AXA Colpatria
67beed58bca66c7ae63eb7b7f4ddbfdb,GARANTIA-SERIEDAD-OFERTA-RJ-BOGOTA.pdf,train,pymupdf,3,542,800209088,Mundial de Seguros
4100d75a5792335240b6d5cd85a17d8d,POLIZA SERIEDAD L.P-005-2025.pdf,train,pymupdf,4,4898,4424636,Sura
48832db54481555c182fca52e4b11695,ConsPago pÃÂ³liza de Responsabilidad Civil No. 00024428.pdf,train,pymupdf,1,1276,No 00024428,
6b01da948dbe2fa71983950b53286efa,POLIZA FF DE SERIEDAD LP-013-2025 (1) (1)_1.pdf,train,pymupdf,3,5553,,Bolivar
c55e77387aa9a2f6688d0a633e2112a7,8. RCE - OMAHER.pdf,train,easyocr,4,12396,21 27974,AXA Colpatria
1a6bdebfb67762dd15c89d7ea930bf59,14 - Poliza RCE 400 SMMLV.pdf,train,pymupdf,7,5971,"ICO
18-02-10100333",
98e57e48a57044352d2cd24f360b6a23,GARANTIA DE SERIEDAD (2).pdf,train,pymupdf,18,14737,901631489,Mundial de Seguros
7506adb296ebbea4eda720d60b758363,POLIZA_21_44_101493145_1.PDF,train,pymupdf,8,17465,101493145,Bolivar
d8fd3a7c32f8bf935228afd5f54bd184,POSITIVA CERTIFICADO ARL.pdf,train,pymupdf,2,1685,,
5143388196184cfd2b385148f761c890,GARANTIA DE SERIEDAD SVS ok.pdf,train,pymupdf,7,27113,,
f98acfe02babe508d039d7078e518d33,1.18 GarantÃÂ­a de seriedad.pdf,train,pymupdf,3,6710,,
b3b3989dbdab1a21df59b3b0d94e572e,SERIEDAD ALC DE ZIPAQUIRA_1.pdf,train,pymupdf,14,23676,4468603,Sura
0f3230b10a2f04f7581a2ca569fdaef4,29. EJEMPLARES DE POLIZAS ANULADOS (3) (1).pdf,train,pymupdf,16,63256,"20
12
2018",La Previsora
1e4bce50deaea11aac04d0342cc6fda4,POLIZA SERIEDAD DE LA OFERTA 14-46101170929-0.pdf,train,pymupdf,5,17418,,
9b6b9d139c4b710f0819a1e37bc3c892,GARANTIA DE SERIEDAD 10_NB-100415269_0_1.pdf,train,pymupdf,17,14493,,Mundial de Seguros
fa6a1c1d8da933d4f99c5a0e2c3b4fd9,DLF052857C_POLIZA_21_44_101484924_20251114115943 (1) (1).pdf,train,pymupdf,3,6022,101484924,
3cb0371f6afdc4e853033362ed5010f2,POLIZA DE SERIEDAD DE OFERTA CIUDAD BOLIVAR_1.pdf,train,pymupdf,1,2135,,Bolivar
fbd0edf95843e86790cf81b8f3ad3431,GarantÃÂ­a de Seriedad de la oferta_1.pdf,train,pymupdf,4,1565,,
cf07ab8c10c75d9a45a2d6162c4d2d60,7. GARANTIA DE SERIEDAD.pdf,train,pymupdf,7,22677,,
7c2938666bd437a554bb8ec195904c39,POLIZA PROCESO 019_1.pdf,train,pymupdf,8,18372,144-191466725,
5374a76f77966421bfbcdb97c78bc388,POLIZA DE SERIEDAD DE LA OFERTA_1.pdf,train,easyocr,17,29285,Nii 860037 013,Mundial de Seguros
9af4fd40bffe8bc515892a217c5a9bd0,17.  Poliza Global Bancaria IRF 1001739 2024-2025.pdf,train,pymupdf,47,211287,1001739,La Previsora
98972149cd771fa7d2ec7a8f5c722ed2,1.2 - POLIZA DE SERIEDAD DE OFERTA_1.pdf,train,pymupdf,2,3866,No 56-44-10101252,
5c72822a9ef5a128268b067ad3e7b72d,GARANTIA DE SERIEDAD (3).pdf,train,pymupdf,7,27134,,
5ff8172334180453acb1a44a5de738ab,37. POLIZA RCE.pdf,train,pymupdf,35,163976,,Bolivar
eb79830e0378f500ab00d900b9740855,4.3.11 Garantia de Seriedad_1.pdf,train,pymupdf,8,16894,,
36934dfec7fe19b81794a6e4604a9026,POLITICA DE INCLUSION.pdf,train,pymupdf,1,881,,
23b7ca6b3de497a67bd649c502f3072c,poliza_1.pdf,train,pymupdf,2,6896,,
abeb5d0ab0176993038b095414baa1ff,Seriedad de la oferta_019_1.pdf,train,easyocr,12,26478,NB-100378885,Mundial de Seguros
a9cadeed31df74694703844236b053cb,Colvatel - Garantia Seriedad de la Oferta 33-44-101273959 - Firma RL_1.pdf,train,pymupdf,10,19775,101273959,
2cf46be593910171294907f478164158,1. POLIZA RC FIDELITY 2025.pdf,train,pymupdf,47,211622,1002173,
208e841778130324864eefc5b69b1ad1,Comprobante N.101484924.pdf.pdf,train,pymupdf,1,885,,
d333d6103cad3f72dae89a2224157142,PÃÂ³liza RCE.pdf,train,pymupdf,61,69822,0024204,
9b07208ee280c1a06bdadff32cc95053,POL_41_10_100050805_0_unlocked_1.pdf,train,easyocr,17,28713,Nii 860037 013,Mundial de Seguros
936f65df91609fa1c0ea5c487f2daf21,POLIZA DE SERIEDAD_1.pdf,train,pymupdf,12,23970,CMT-100015802,Mundial de Seguros
